name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;235;0;350;3075;1074;3075;1074;0
header;234;115;234;152;1865;152;1865;115
A;1040;177;1040;204;1062;204;1062;177
D;434;496;434;525;457;525;457;496
A;1029;673;1029;674;1031;674;1031;673
B;759;770;759;785;770;785;770;770
B;1042;855;1042;882;1063;882;1063;855
A;1017;1019;1017;1031;1024;1031;1024;1019
B;342;1191;342;1210;358;1210;358;1191
D;739;1375;739;1394;756;1394;756;1375
C;1037;1521;1037;1551;1060;1551;1060;1521
A;399;1658;399;1670;407;1670;407;1658
A;346;1722;346;1724;346;1724;346;1722
A;406;1722;406;1722;406;1722;406;1722
B;768;1785;768;1804;783;1804;783;1785
A;362;1875;362;1894;382;1894;382;1875
D;1040;2184;1040;2213;1063;2213;1063;2184
B;1005;2189;1005;2216;1022;2216;1022;2189
