name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;416;0;672;3093;1027;3093;1027;0
header;188;148;188;195;1825;195;1825;148
A;994;212;994;241;1016;241;1016;212
A;890;568;890;571;892;571;892;568
A;727;662;727;664;729;664;729;662
B;990;877;990;911;1013;911;1013;877
A;644;1565;644;1565;644;1565;644;1565
C;547;1685;547;1731;583;1731;583;1685
B;677;1686;677;1729;708;1729;708;1686
A;828;1686;828;1729;845;1729;845;1686
C;921;1687;921;1730;951;1730;951;1687
B;668;2153;668;2164;676;2164;676;2153
C;986;2438;986;2470;1008;2470;1008;2438
